Station Name,Latitude,Longitude,EV Level2 EVSE Num
Fox Chrysler Dodge Jeep Ram,43.0327583987682,-85.6238041427109,1.0
DAIRY QUEEN TUC DQ 25 EV,32.236672,-111.003674,2.0
5935 Broadway,40.888461,-73.899119,4.0
KOHL'S - CHPT 1004 HILLSBOR 1,45.536115,-122.901442,1.0
DAL PARKING DAL GARAGE C3,32.843614,-96.847635,2.0
FREMONT EV CAPITOL AVE #10,37.551013,-121.984213,2.0
UNM YALE 1,35.087448,-106.621297,2.0
SUTTER HEALTH STATION - 9,38.60723,-121.51996,2.0
Lena Meijer Corporate Office,43.0140621862442,-85.7260569851029,7.0
Inovis Energy - Central Ave,42.080249,-71.380815,6.0
SCO LAKEPARK2,40.713884,-112.002392,2.0
PERFVOLVO5050 BAY 1,40.326338,-76.064428,1.0
ULSTER COUNTY HALL OF RECORDS,41.93615,-73.997814,2.0
Desjardins - CdS La Guadeloupe,45.960146,-70.936903,1.0
BOWDOIN BOWDOIN ROUX 2,43.90694,-69.95922,2.0
Nanticoke River Discovery Center,38.485467,-75.823919,2.0
MASSDOT HARWICH P&R 1,41.70487,-70.07666,2.0
Karol Malone Ford,33.2081816825494,-92.6849904978009,1.0
801 MAIN ST E,43.526654,-79.869594,1.0
INSIGNIA 953 EV216,47.616571,-122.342673,1.0
Lumicité QT DEUX,45.5281019066738,-73.3048979555743,2.0
META MPK60-10 SOUTH,37.482853,-122.178347,2.0
EVERGY @JSTC ANNX-435A,38.88375,-94.80788,2.0
Cooperative Extension - 2,27.88378,-82.809961,1.0
Monticello FL - 2,30.544605,-83.869404,1.0
Taylor Automotive,35.49416,-79.180591,1.0
Hammonasset Beach State Park - Meig's Point Nature Center,41.251952,-72.546017,4.0
South Charleston Public Library,38.366526,-81.693691,1.0
TownePlace Suites - Buffalo Airport,42.93057,-78.728499,4.0
Saint Regis Mohawk Health Services,44.9779449904176,-74.6896876839984,2.0
1255 LOFTS 1 STATION,43.150715,-77.56879,2.0
HYATT PLACE HOTEL AMHERST 2,42.960455,-78.769121,2.0
Village of Dryden,42.489514,-76.298039,2.0
EVSP WALGREENS STORE 5591,33.798125,-118.306861,1.0
EVERGY @KCPD LAB -249B,39.078392,-94.55479,2.0
Grant Park North - Tesla Destination,41.882267,-87.624325,3.0
Best Western Plus - Dryden,49.78736,-92.83394,1.0
RIVIERA EV CITY HALL,30.602937,-87.903205,2.0
WellGreens,32.889452,-117.161639,2.0
BIG BEAR PENNSYLVANIA 2,34.239864,-116.909537,2.0
Hampton Inn Hays - Tesla Destination,38.8982215,-99.3147538,2.0
Cinemark Tinseltown 20 Pflugerville,30.447710425,-97.664189864,2.0
UNIV PITTSBURGH BC STATION 12,40.454548,-79.944481,2.0
LEDGER L6 #1,36.37048,-94.209625,2.0
NATIONAL GRID CHILI'S LINCOLN,41.935882,-71.478218,2.0
DLR M&F 59&60,33.815026,-117.926626,2.0
T. ROWE PRICE CP GARAGE 5A,39.3919,-76.78623,2.0
LADWP - Wilmington,33.788779,-118.274557,1.0
ORANGE STATIONS NORTHSIDE EV1P2,33.785085,-84.388215,2.0
LBA REALTY PS1 STATION 3,33.673835,-117.844601,2.0
EVERGY @FELIX PG -286A,39.766677,-94.855068,2.0
TOC TOWN OF CHESTER,43.264206,-72.60177,2.0
Mountain View School District,34.05456,-118.03448,6.0
Uniplex Dieppe,46.098839,-64.742564,4.0
CITY OF FRESNO ARTMRDIOPRKCHG3,36.77108,-119.772957,1.0
Acton Ford,42.441386,-71.430141,2.0
BRECKENRIDGE GARAGE 07,39.483568,-106.048064,2.0
WATER GARDEN P2 STATION 01,34.029384,-118.470786,2.0
The Davenport Hotel - Tesla Destination,47.656578,-117.424414,1.0
TMMC PARKING STATION 2,33.81401,-118.343891,2.0
RAINTREE RAINTREE ST6,33.61987,-111.89442,2.0
KENTFIELD EV07 EV08,37.950882,-122.54909,2.0
WRIGHT HOMES STATION #1,40.525665,-111.876248,2.0
SPECTRUM HEALTH RAMP 7 STATION,42.970936,-85.663301,2.0
